"GeneID","GeneSymbol","log2FC","pvalue","padj"
"GENE_0051","Gene51",1.64954889595528,5.58327873027226e-08,2.49997555086818e-06
"GENE_0121","Gene121",1.59363881998714,5.44895235961976e-08,2.49997555086818e-06
"GENE_0135","Gene135",1.4522089987169,5.56453968826178e-08,2.49997555086818e-06
"GENE_0021","Gene21",1.25142769210481,5.8233569856215e-08,2.54290366622628e-06
"GENE_0070","Gene70",1.58579595242448,6.04903532131087e-08,2.54290366622628e-06
"GENE_0092","Gene92",1.43825729363511,5.92605078482022e-08,2.54290366622628e-06
"GENE_0095","Gene95",1.61508400278833,6.18773225448396e-08,2.54290366622628e-06
"GENE_0139","Gene139",1.2788627261105,5.9763697154807e-08,2.54290366622628e-06
"GENE_0185","Gene185",1.57280823842042,6.16023194397961e-08,2.54290366622628e-06
"GENE_0166","Gene166",1.43695333681032,6.68284793238777e-08,2.70926267529234e-06
"GENE_0131","Gene131",1.52441387043414,6.79352888793542e-08,2.71741155517417e-06
"GENE_0104","Gene104",1.46955366187796,7.72784535977408e-08,3.01084884147042e-06
"GENE_0118","Gene118",1.82806066137609,7.652133858448e-08,3.01084884147042e-06
"GENE_0022","Gene22",1.81533061998629,8.63686234424345e-08,3.13427170772571e-06
"GENE_0042","Gene42",1.44559046064417,8.33159676431535e-08,3.13427170772571e-06
"GENE_0058","Gene58",1.56907789936457,8.67148505804112e-08,3.13427170772571e-06
"GENE_0075","Gene75",1.55269116577142,8.61660226312318e-08,3.13427170772571e-06
"GENE_0102","Gene102",1.42333507955938,8.62464093486198e-08,3.13427170772571e-06
"GENE_0168","Gene168",1.1947086463976,8.51438991755101e-08,3.13427170772571e-06
"GENE_0009","Gene9",1.36891006221303,9.08850481653177e-08,3.24589457733278e-06
"GENE_0132","Gene132",1.38326399753814,9.2597390169142e-08,3.26814318244031e-06
"GENE_0154","Gene154",1.36380598809592,9.52255873488536e-08,3.32182281449489e-06
"GENE_0140","Gene140",1.68966912396735,9.72454132763332e-08,3.35329011297701e-06
"GENE_0189","Gene189",1.31580034510126,1.03056217032872e-07,3.51328012612062e-06
"GENE_0044","Gene44",1.42013726437985,1.04986985507519e-07,3.53888715193886e-06
"GENE_0010","Gene10",1.54010908825338,1.07970819121914e-07,3.5990273040638e-06
"GENE_0002","Gene2",1.46057667540208,1.16020147329523e-07,3.8248400218524e-06
"GENE_0089","Gene89",1.54708295488568,1.30347352079363e-07,4.20847544786629e-06
"GENE_0145","Gene145",1.45893935852052,1.30462738883855e-07,4.20847544786629e-06
"GENE_0165","Gene165",1.58735792216521,1.32972684968301e-07,4.243809094733e-06
"GENE_0110","Gene110",1.37264945920075,1.37152328762506e-07,4.33112617144755e-06
"GENE_0174","Gene174",1.51053831934742,1.39647999778342e-07,4.36399999307319e-06
"GENE_0171","Gene171",1.60665538673504,1.47418588878442e-07,4.55933780036418e-06
"GENE_0072","Gene72",1.65500229689321,1.72986838969477e-07,5.29551547865747e-06
"GENE_0098","Gene98",1.39911325554051,1.77261212089304e-07,5.37155188149407e-06
"GENE_0177","Gene177",1.91947332572495,1.80996662591888e-07,5.42989987775663e-06
"GENE_0200","Gene200",1.4247025724289,2.10375395569092e-07,6.2487741258146e-06
"GENE_0054","Gene54",1.5273680527342,2.23358504310298e-07,6.56936777383228e-06
"GENE_0004","Gene4",1.56769666575425,2.41341774197022e-07,6.97562919914988e-06
"GENE_0064","Gene64",1.47159729764426,2.41821812237196e-07,6.97562919914988e-06
"GENE_0175","Gene175",1.50994498206882,2.45669328382153e-07,7.01912366806151e-06
"GENE_0076","Gene76",1.53005795865181,2.74113546098773e-07,7.62908887723527e-06
"GENE_0093","Gene93",1.53565666595732,2.74573853416366e-07,7.62908887723527e-06
"GENE_0193","Gene193",1.54156512805542,2.7464719958047e-07,7.62908887723527e-06
"GENE_0127","Gene127",1.41584964974477,2.88250833764121e-07,7.93350918616846e-06
"GENE_0007","Gene7",1.55020134442991,3.0090765829325e-07,8.20657249890683e-06
"GENE_0056","Gene56",1.50849592619406,3.10975782335322e-07,8.40475087392761e-06
"GENE_0112","Gene112",1.39363961088147,3.17696630247019e-07,8.43442381186776e-06
"GENE_0181","Gene181",1.52535728800234,3.17178544921698e-07,8.43442381186776e-06
"GENE_0106","Gene106",1.74049622943609,3.21329926541783e-07,8.45605069846798e-06
"GENE_0119","Gene119",1.58359724071356,3.44948415982034e-07,8.99865432996611e-06
"GENE_0198","Gene198",1.3948738710541,3.48334182081485e-07,9.0086426400384e-06
"GENE_0150","Gene150",1.45028452029114,3.64697996175398e-07,9.35123067116406e-06
"GENE_0084","Gene84",1.55169156540191,3.7404960052427e-07,9.50973560654924e-06
"GENE_0156","Gene156",1.32812550788563,4.05923962555603e-07,1.01738724096763e-05
"GENE_0186","Gene186",1.78684141821534,4.06954896387053e-07,1.01738724096763e-05
"GENE_0173","Gene173",1.24369315860187,4.11268020418107e-07,1.01967277789613e-05
"GENE_0043","Gene43",1.37986802624078,4.2982367413325e-07,1.04835042471525e-05
"GENE_0146","Gene146",1.37397176123451,4.26410261233595e-07,1.04835042471525e-05
"GENE_0080","Gene80",1.44051231602318,4.4615738018045e-07,1.0794130165656e-05
"GENE_0066","Gene66",1.46267381983094,4.66142716901038e-07,1.11874252056249e-05
"GENE_0031","Gene31",1.3891022253425,5.13261992681328e-07,1.22205236352697e-05
"GENE_0087","Gene87",1.42351650463132,5.18612302850163e-07,1.22506843192952e-05
"GENE_0050","Gene50",1.4013960043682,5.79272644773587e-07,1.3576702611881e-05
"GENE_0034","Gene34",1.38714713964842,5.90165109456561e-07,1.37247699873619e-05
"GENE_0059","Gene59",1.67884659219295,5.94888647279754e-07,1.37281995526097e-05
"GENE_0134","Gene134",1.44099471318235,6.07333019021684e-07,1.39083897485882e-05
"GENE_0035","Gene35",1.26763664434336,8.82130608645474e-07,2.00484229237608e-05
"GENE_0148","Gene148",1.2073903279408,1.02803316877173e-06,2.31887180925954e-05
"GENE_0130","Gene130",1.3671363481837,1.07729963413399e-06,2.41186485253877e-05
"GENE_0116","Gene116",1.25690793686277,1.09768196166616e-06,2.43929324814703e-05
"GENE_0012","Gene12",1.5319708926208,1.11997138370126e-06,2.47052511110572e-05
"GENE_0052","Gene52",1.37263747346205,1.15136868242048e-06,2.50695477480875e-05
"GENE_0113","Gene113",1.45330755030294,1.15319919641202e-06,2.50695477480875e-05
"GENE_0040","Gene40",1.42599389974188,1.20174440522476e-06,2.59369296091674e-05
"GENE_0195","Gene195",1.36093921150205,1.21085236189087e-06,2.5946836326233e-05
"GENE_0184","Gene184",1.36308242312194,1.23693954424716e-06,2.63178626435566e-05
"GENE_0014","Gene14",1.29210050710919,1.25477200246523e-06,2.65092676577161e-05
"GENE_0079","Gene79",1.57781739444764,1.31017632763937e-06,2.7486216663763e-05
"GENE_0082","Gene82",1.39287346299883,1.35516334562467e-06,2.8232569700514e-05
"GENE_0008","Gene8",1.26965785372236,1.37496734310782e-06,2.84476002022308e-05
"GENE_0122","Gene122",1.18188977822898,1.39450057140995e-06,2.86541213303414e-05
"GENE_0011","Gene11",1.40390654156695,1.44715487059292e-06,2.95337728692432e-05
"GENE_0071","Gene71",1.25606573652254,1.45889314979092e-06,2.95721584417078e-05
"GENE_0133","Gene133",1.63737538372699,1.47336776099394e-06,2.95849164024171e-05
"GENE_0192","Gene192",1.37271227672114,1.47924582012086e-06,2.95849164024171e-05
"GENE_0049","Gene49",1.23697070775632,1.52906655745053e-06,3.03788057771629e-05
"GENE_0019","Gene19",1.5481485550365,1.59601949193825e-06,3.15003847093076e-05
"GENE_0013","Gene13",1.43508518867708,1.72215391407319e-06,3.35484528715557e-05
"GENE_0143","Gene143",1.35812748992337,1.71956513648497e-06,3.35484528715557e-05
"GENE_0085","Gene85",1.25443026315272,1.76116725633805e-06,3.40248437056711e-05
"GENE_0178","Gene178",1.66518674266611,1.7692918726949e-06,3.40248437056711e-05
"GENE_0151","Gene151",1.37711461791873,1.78345258578668e-06,3.40787118303187e-05
"GENE_0047","Gene47",1.3877807900721,1.82981666829004e-06,3.45586204204547e-05
"GENE_0063","Gene63",1.18811655828961,1.8316068822841e-06,3.45586204204547e-05
"GENE_0029","Gene29",1.40564010748706,2.0483440883153e-06,3.84064516559119e-05
"GENE_0108","Gene108",1.46263221689367,2.23394709850486e-06,4.16263434504012e-05
"GENE_0141","Gene141",1.51135527771898,2.28902108613645e-06,4.23892793728972e-05
"GENE_0176","Gene176",1.34023164448494,2.34357137689099e-06,4.31332155256011e-05
"GENE_0128","Gene128",1.3284911807984,2.37841727526013e-06,4.35076330840267e-05
"GENE_0069","Gene69",1.52298697231314,2.41022722456435e-06,4.38223131738973e-05
"GENE_0115","Gene115",1.44712896919069,2.4454082280541e-06,4.41941246033873e-05
"GENE_0017","Gene17",1.30837786596532,2.53356925143683e-06,4.55132200856915e-05
"GENE_0077","Gene77",1.34105799649917,2.71024483031835e-06,4.83972291128277e-05
"GENE_0091","Gene91",1.33148258682973,2.99887897353249e-06,5.3234537991701e-05
"GENE_0126","Gene126",1.18542812350593,3.04496825609634e-06,5.37347339311118e-05
"GENE_0100","Gene100",1.25967786414202,3.30017154923035e-06,5.78977464777255e-05
"GENE_0018","Gene18",1.23116438236323,3.4790704597445e-06,6.06814615071716e-05
"GENE_0179","Gene179",1.26977256690719,3.76335416210432e-06,6.52604767994968e-05
"GENE_0103","Gene103",1.47656633472,3.94970204622656e-06,6.80983111418372e-05
"GENE_0055","Gene55",1.45523390627187,4.26167310768453e-06,7.30572532745919e-05
"GENE_0197","Gene197",1.35212350373353,4.67876371395786e-06,7.97516542151907e-05
"GENE_0025","Gene25",1.30111803103876,4.77508627544825e-06,8.09336656855636e-05
"GENE_0170","Gene170",1.43436313350301,4.94449543405637e-06,8.33341927088152e-05
"GENE_0149","Gene149",1.41427192284237,5.44404138770295e-06,9.124091711234e-05
"GENE_0046","Gene46",1.16528590114656,5.52633074515632e-06,9.2105512419272e-05
"GENE_0142","Gene142",1.1149950418944,5.71073569632267e-06,9.46530778396022e-05
"GENE_0028","Gene28",1.41741081728647,5.88313853602577e-06,9.66683717799867e-05
"GENE_0032","Gene32",1.06788709534406,5.9374473573409e-06,9.66683717799867e-05
"GENE_0038","Gene38",1.3418922366904,5.96121625976585e-06,9.66683717799867e-05
"GENE_0164","Gene164",1.40293228200045,5.94728167472287e-06,9.66683717799867e-05
"GENE_0199","Gene199",1.25301433314899,6.07956866212371e-06,9.80575590665115e-05
"GENE_0083","Gene83",1.34767624440353,7.81222655888708e-06,0.000125329837843108
"GENE_0163","Gene163",1.57526151793598,7.88640138849641e-06,0.000125846830667496
"GENE_0120","Gene120",1.41737924984989,1.2390517110047e-05,0.000196674874762651
"GENE_0001","Gene1",1.36251410711749,1.29607881610311e-05,0.000204644023595228
"GENE_0196","Gene196",1.10382266173935,1.77313104315471e-05,0.000278502258087127
"GENE_0090","Gene90",1.28731476681057,1.82657378687586e-05,0.000285402154199353
"GENE_0153","Gene153",1.25082216897211,1.84054538636904e-05,0.000286095137777571
"GENE_0099","Gene99",1.23861422133534,2.15015825393291e-05,0.000332498699061791
"GENE_0191","Gene191",1.29728026441632,2.37201264009998e-05,0.000364925021553843
"GENE_0062","Gene62",1.14008603254892,2.65089685179863e-05,0.000405749518132443
"GENE_0123","Gene123",1.37800689406004,3.14941786785081e-05,0.000479606781906215
"GENE_0015","Gene15",1.04691834800362,6.77320655844704e-05,0.00102624341794652
"GENE_0161","Gene161",1.31519829704414,7.74497142250601e-05,0.00116758363153357
"GENE_0097","Gene97",1.00514948245133,0.000163447875366764,0.00245171813050147
"GENE_1299","Gene1299",-0.592600491292725,0.000404936748064005,0.00604383206065678
"GENE_2424","Gene2424",-0.500984296506883,0.00100123119511208,0.0148697702244369
"GENE_0956","Gene956",-0.480831759203319,0.00136535043674144,0.0201775926612035
"GENE_1937","Gene1937",-0.457782063716245,0.00213390587231329,0.0313809687104895
"GENE_1339","Gene1339",-0.457190299919548,0.00235712457893598,0.0344945060332095
"GENE_1351","Gene1351",-0.523020540852231,0.0024050603884409,0.0350251512879742
"GENE_1524","Gene1524",0.570361321751248,0.00272834883479738,0.0395241189593539
"GENE_1693","Gene1693",0.430119195247789,0.0027403389145152,0.0395241189593539
"GENE_2379","Gene2379",0.526290575736919,0.00302963630072978,0.0434876024028198
"GENE_0423","Gene423",0.474844932357561,0.00316091248710862,0.0451558926729803
"GENE_1861","Gene1861",0.452176999304599,0.00336921710100453,0.0479035606777895
"GENE_1372","Gene1372",-0.362395551981912,0.00349309412641722,0.049430577260621
"GENE_0588","Gene588",-0.328781415145103,0.00398135613483826,0.0560754385188488
"GENE_0741","Gene741",-0.442782308949815,0.00447762325307461,0.0627704194356254
"GENE_2500","Gene2500",0.47555043289154,0.00466390070116819,0.0650776842023468
"GENE_1613","Gene1613",0.549624395934558,0.00508684222995744,0.0706505865271867
"GENE_1704","Gene1704",0.41951172068042,0.00514167134262927,0.0710830139534
"GENE_1896","Gene1896",0.371539829127177,0.00616835687111652,0.084885645015365
"GENE_1316","Gene1316",0.529205591645191,0.00696783233869383,0.0950158955276431
"GENE_2772","Gene2772",0.412234772696008,0.00694252032274345,0.0950158955276431
"GENE_0286","Gene286",-0.58744944454948,0.0070283419145471,0.0954073563060693
"GENE_1307","Gene1307",0.372579428099213,0.0072473378157972,0.0974978181497381
"GENE_1539","Gene1539",-0.522118754537917,0.00723824383685827,0.0974978181497381
"GENE_1575","Gene1575",-0.467948161692316,0.00755170808771591,0.101138947603338
"GENE_1963","Gene1963",-0.444868898745165,0.00877969913663722,0.117062655155163
"GENE_0441","Gene441",-0.466872991631087,0.00938476358282452,0.124576507736609
"GENE_0532","Gene532",0.429768570408786,0.0098156730914056,0.129722551868796
"GENE_2194","Gene2194",-0.392184287063695,0.0099940871314069,0.13150114646588
"GENE_2262","Gene2262",0.477505022821944,0.0101460885711891,0.13291819088894
"GENE_2833","Gene2833",-0.304029559012628,0.0108619960355917,0.141678209159891
"GENE_2239","Gene2239",0.327879511402407,0.0117816839677274,0.153008882697759
"GENE_0344","Gene344",0.408461679810919,0.0121801522690326,0.157202546710696
"GENE_2231","Gene2231",0.463216044639153,0.0122093977945307,0.157202546710696
"GENE_1770","Gene1770",0.493322173567687,0.012510314166768,0.160388643163692
"GENE_1097","Gene1097",0.492534805607747,0.0126205973975721,0.161114009330708
"GENE_0678","Gene678",-0.386700406903856,0.0130884769460836,0.166378944229877
"GENE_1927","Gene1927",-0.43762918277735,0.0136580077196263,0.172886173666155
"GENE_2161","Gene2161",0.35426728287123,0.014081954472959,0.177503627810408
"GENE_1280","Gene1280",0.463947598492145,0.0141514959310312,0.177633840138466
"GENE_0613","Gene613",-0.477536959850301,0.0143050195492096,0.178812744365119
"GENE_2159","Gene2159",0.378277368718608,0.0143940897775223,0.179179540799033
"GENE_2649","Gene2649",0.428460624134312,0.0146443164346497,0.181541112826237
"GENE_2080","Gene2080",0.417599666576985,0.0150332135326456,0.185595228798094
"GENE_2466","Gene2466",-0.377905938913146,0.0154139706941115,0.188742498295243
"GENE_2751","Gene2751",0.450997018997148,0.0153537313765688,0.188742498295243
"GENE_0690","Gene690",-0.396828666821079,0.0155609042828782,0.189767125400954
"GENE_2329","Gene2329",0.488847321199346,0.0159852242192333,0.194152520881376
"GENE_0576","Gene576",-0.415832593989817,0.0165837020912033,0.200609299490363
"GENE_1534","Gene1534",0.49102206551108,0.0172360413123896,0.207663148342044
"GENE_2002","Gene2002",-0.380359520493906,0.0177996267014318,0.213595520417182
"GENE_1037","Gene1037",0.42921042695602,0.018109432087392,0.216447395466836
"GENE_0348","Gene348",0.382510817206545,0.0183473677084935,0.218197083426234
"GENE_0854","Gene854",-0.325209848119783,0.0184115746087695,0.218197083426234
"GENE_2088","Gene2088",-0.378077010704397,0.0184740197300878,0.218197083426234
"GENE_1172","Gene1172",0.333391171470957,0.0197075384056793,0.230306527971562
"GENE_1738","Gene1738",0.383167604091487,0.0196495654686162,0.230306527971562
"GENE_2880","Gene2880",-0.381153103153055,0.0197295925628972,0.230306527971562
"GENE_2535","Gene2535",-0.42336075260318,0.0198410252951254,0.230709596454947
"GENE_1147","Gene1147",0.459520665599552,0.0199884930318049,0.231526946314342
"GENE_1899","Gene1899",-0.385906905593824,0.0202523582802066,0.231897232216106
"GENE_1929","Gene1929",0.414821973643239,0.0202509337121829,0.231897232216106
"GENE_2395","Gene2395",-0.467399436305707,0.0201273634201302,0.231897232216106
"GENE_2507","Gene2507",0.377485913044008,0.0203695025108598,0.232351739667602
"GENE_0903","Gene903",0.454550074340556,0.0206902892253106,0.233558124821924
"GENE_2218","Gene2218",-0.367663998451782,0.0207088204008772,0.233558124821924
"GENE_2729","Gene2729",0.325849171079033,0.020697058507587,0.233558124821924
"GENE_1628","Gene1628",0.374008102151976,0.0213975472062407,0.240421878721806
"GENE_0945","Gene945",-0.447056722507154,0.0220327820489097,0.245968654592534
"GENE_1550","Gene1550",0.35807867518669,0.0220551893617972,0.245968654592534
"GENE_0873","Gene873",-0.276885027519825,0.0235425973358485,0.261584414842761
"GENE_0572","Gene572",0.385111787136857,0.0241490565653705,0.265374247971105
"GENE_1983","Gene1983",-0.340546413022426,0.0241096024161502,0.265374247971105
"GENE_2038","Gene2038",-0.294127052753893,0.0240619776495412,0.265374247971105
"GENE_0855","Gene855",-0.269265486096264,0.0246455167842922,0.26886018310137
"GENE_2009","Gene2009",-0.36565958974461,0.0245842048751665,0.26886018310137
"GENE_1581","Gene1581",-0.345771592099002,0.0249242711609541,0.270497224884252
"GENE_2317","Gene2317",-0.356463362048409,0.0249759104309793,0.270497224884252
"GENE_0779","Gene779",-0.477366278400034,0.0254344074165458,0.27447202248071
"GENE_1386","Gene1386",-0.42682940106843,0.0257389207181582,0.275774150551695
"GENE_2912","Gene2912",-0.523845015987009,0.0257301515957763,0.275774150551695
"GENE_0942","Gene942",0.40084932498954,0.0259969595392708,0.277547610739546
"GENE_1717","Gene1717",0.398634556206018,0.0264702241006928,0.281598128730775
"GENE_1077","Gene1077",-0.367177628761053,0.026681375504281,0.282841436441141
"GENE_1535","Gene1535",-0.319787055636994,0.0268628068574135,0.283762044268452
"GENE_2784","Gene2784",0.400596050554205,0.0270891675395717,0.285149131995492
"GENE_1180","Gene1180",0.271135815490973,0.0272842992561842,0.2852017343852
"GENE_1556","Gene1556",-0.39278330616721,0.0272543088338024,0.2852017343852
"GENE_1191","Gene1191",-0.392591770789372,0.0277925931706862,0.289506178861315
"GENE_2394","Gene2394",-0.403644365496554,0.0279608080374744,0.290250602465132
"GENE_1207","Gene1207",0.445444088239045,0.0283486080363727,0.2912528222915
"GENE_1758","Gene1758",0.43082811327778,0.0282088947306882,0.2912528222915
"GENE_2345","Gene2345",-0.337397851507506,0.0282628876964596,0.2912528222915
"GENE_2728","Gene2728",0.382584572302099,0.0292424752863008,0.299411009757346
"GENE_2283","Gene2283",0.400144189758421,0.0295384669448352,0.301412928008523
"GENE_2570","Gene2570",-0.436879298445907,0.0308729547468651,0.313962251663034
"GENE_0728","Gene728",-0.427699574388477,0.0312007644491081,0.314524591248193
"GENE_1399","Gene1399",-0.304932051162101,0.0312440190707777,0.314524591248193
"GENE_1452","Gene1452",-0.331126679917196,0.0311207032567157,0.314524591248193
"GENE_1884","Gene1884",0.338106520339108,0.0313476175944032,0.314524591248193
"GENE_2245","Gene2245",0.413923153690535,0.0316891389106945,0.316891389106945
"GENE_1048","Gene1048",0.493185435274619,0.0318620621037734,0.317562080768506
"GENE_1487","Gene1487",-0.347630742883506,0.0322289163177157,0.319180647747381
"GENE_2473","Gene2473",-0.384386344138861,0.0322372454224855,0.319180647747381
"GENE_0973","Gene973",0.418681832770394,0.0330138148820403,0.325316433257144
"GENE_1830","Gene1830",-0.359356977595332,0.033073837381143,0.325316433257144
"GENE_0265","Gene265",0.356743213846708,0.0338969490107702,0.331240544079188
"GENE_2117","Gene2117",0.340266881241416,0.033794570726359,0.331240544079188
"GENE_2996","Gene2996",0.270921866456267,0.034302224306614,0.334112574415071
"GENE_1292","Gene1292",-0.336873730421999,0.0346702007442674,0.336603890721043
"GENE_0549","Gene549",-0.386174218026605,0.0350146040122684,0.338851006570339
"GENE_2467","Gene2467",0.399109796133006,0.035439416470365,0.341859322865257
"GENE_2083","Gene2083",-0.427477815195128,0.0359015510357677,0.345207221497767
"GENE_1792","Gene1792",-0.485119059266319,0.0363838055266362,0.345415875252875
"GENE_2111","Gene2111",-0.334536955079423,0.0361967514910358,0.345415875252875
"GENE_2405","Gene2405",-0.321170339648507,0.0363705187846564,0.345415875252875
"GENE_2807","Gene2807",-0.334202972893539,0.0361371591338353,0.345415875252875
"GENE_0327","Gene327",-0.411077820529838,0.0365852904275693,0.346233032437564
"GENE_2672","Gene2672",-0.40655602124188,0.0368036887155158,0.347204610523734
"GENE_2072","Gene2072",-0.327849813876636,0.0371449268735611,0.349325331099321
"GENE_2760","Gene2760",0.475231385333023,0.0373576071729683,0.350227567246578
"GENE_1552","Gene1552",-0.439228818844259,0.0379153910756299,0.354349449304952
"GENE_0210","Gene210",0.400114612068368,0.0383160727612799,0.35698204435975
"GENE_1010","Gene1010",0.398907206976999,0.0384689010273879,0.357296294372024
"GENE_2006","Gene2006",-0.396635031170968,0.0389667190297543,0.360802953979207
"GENE_2810","Gene2810",0.276936462706979,0.0391515315015576,0.36139875232207
"GENE_2234","Gene2234",-0.399237988254175,0.0397519753280638,0.365815723877888
"GENE_1433","Gene1433",0.350306535540595,0.0416959411101041,0.382531569817469
"GENE_0682","Gene682",0.241255777186093,0.0419940531410091,0.38340864975776
"GENE_0878","Gene878",-0.365584671906017,0.042047148590101,0.38340864975776
"GENE_1697","Gene1697",0.311604080784665,0.0424907662598862,0.386279693271693
"GENE_1208","Gene1208",-0.396096615983048,0.04276686577921,0.386447582342259
"GENE_2847","Gene2847",0.427322942785535,0.0427175994625705,0.386447582342259
"GENE_2089","Gene2089",-0.36792587676331,0.0433953647930024,0.390949232369391
"GENE_2182","Gene2182",0.317499555782745,0.0436195873030215,0.391792700326541
"GENE_2323","Gene2323",0.395566701134674,0.0440161043982835,0.393364495759736
"GENE_2404","Gene2404",-0.348889251998542,0.0440568235250905,0.393364495759736
